date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:21:05	35081/35081	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202022%2021:21:08%20GMT	https://www.otekit.com/en	F:/AmmarWebsit/www.otekit.com/en.html	(from )
00:21:06	24/24	---M--	200	added ('OK')	text/plain	date:Fri,%2028%20Jun%202019%2020:21:12%20GMT	https://www.otekit.com/robots.txt		(from )
00:21:08	15215/15215	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Mar%202019%2010:52:26%20GMT	https://www.otekit.com/fonts/cloudicon/cloudicon.css	F:/AmmarWebsit/www.otekit.com/fonts/cloudicon/cloudicon.css	(from https://www.otekit.com/en)
00:21:09	53592/53592	---MCZ	200	added ('OK')	text/css	etag:W/%22dc93d584e41f8417f6b7163320d34329%22	https://use.fontawesome.com/releases/v5.6.3/css/all.css	F:/AmmarWebsit/use.fontawesome.com/releases/v5.6.3/css/all.css	(from https://www.otekit.com/en)
00:21:09	252/252	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2019%20Jun%202022%2021:21:13%20GMT	https://cdn.rawgit.com/konpa/devicon/df6431e323547add1b4cf45992913f15286456d3/devicon.min.css	F:/AmmarWebsit/cdn.rawgit.com/konpa/devicon/df6431e323547add1b4cf45992913f15286456d3/devicon.min.4.delayed	(from https://www.otekit.com/en)
00:21:09	134077/134077	---M--	200	added ('OK')	image/jpeg	date:Mon,%2015%20Apr%202019%2011:12:14%20GMT	https://otekit.com/img/site_intro_en.jpg	F:/AmmarWebsit/otekit.com/img/site_intro_en.jpg	(from https://www.otekit.com/en)
00:21:11	23270/23270	---M-Z	200	added ('OK')	text/css	etag:W/%225ae6-JvQVk4x9e1OUaZpnBombVd9jl6Q%22	https://cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css	F:/AmmarWebsit/cdn.jsdelivr.net/gh/konpa/devicon@df6431e323547add1b4cf45992913f15286456d3/devicon.min.css	(from https://www.otekit.com/en)
00:21:14	4795/4795	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2018%20Mar%202019%2010:52:25%20GMT	https://www.otekit.com/img/logo.svg	F:/AmmarWebsit/www.otekit.com/img/logo.svg	(from https://www.otekit.com/en)
00:21:15	344/344	---M-Z	302	error ('Found')	text/html	date:Sun,%2019%20Jun%202022%2021:21:17%20GMT	https://www.otekit.com/	F:/AmmarWebsit/www.otekit.com/index.html	(from https://www.otekit.com/en)
00:21:15	368/368	---M-Z	302	error ('Found')	text/html	date:Sun,%2019%20Jun%202022%2021:21:18%20GMT	https://www.otekit.com/about	F:/AmmarWebsit/www.otekit.com/about	(from https://www.otekit.com/en)
00:21:15	125938/125938	---M--	200	added ('OK')	text/css	date:Fri,%2027%20Dec%202019%2016:09:55%20GMT	https://www.otekit.com/css/app.css	F:/AmmarWebsit/www.otekit.com/css/app.css	(from https://www.otekit.com/en)
00:21:15	264100/264100	---M--	200	added ('OK')	text/css	date:Wed,%2022%20May%202019%2021:29:57%20GMT	https://www.otekit.com/css/plugins.css	F:/AmmarWebsit/www.otekit.com/css/plugins.css	(from https://www.otekit.com/en)
